agency_ref,name,address1,address2,city,state,county_name,zip,phone,email,tefap,latitude,longitude,Date_of_Last_SO,TEFAP_Auto_Eligible,TEFAP_Income_Levels,ObjectId,Day of week,Hours,ByAppointmentOnly,ResidentsOnly,Notes,Reqs,start1,start2,start3,end1,end2,end3,Frequency,Additional_Notes,Start_Time,End_Time
14030-PART-01,So Others Might Eat,71 O ST NW,,Washington,DC,DC Ward 5,20002,(202) 235-1472,dking@some.org,TEFAP Available,38.90825,-77.011103,2025-03-07,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,2,Monday,9:00 AM to 11:00 AM; Every week,No,No,, ,9:00:00,12:00:00,,11:00:00,14:00:00,,Every week,,09:00:00,11:00:00
21930-MOMK-01,Barcroft Elementary School,700 S Buchanan St,,Arlington,VA,VA Arlington County,22204,(703) 721-8334,marygrace@cisofnova.org,Non-TEFAP,38.860182,-77.110653,2025-04-10,N/A,N/A,176,Thursday,3:00 PM to 5:00 PM; 2nd of the Month,No,No,None, ,15:00:00,,,17:00:00,,,2nd of the Month,,15:00:00,17:00:00
18155-MOMK-01,Fairmont Gardens Apartments,4100 Wadsworth Ct,,Annandale,VA,VA Fairfax County,22003,(703) 772-3132,arnoldo@justice4all.org,Non-TEFAP,38.836461,-77.203813,2025-04-03,N/A,N/A,179,Thursday,9:00 AM to 11:00 AM; 1st and 2nd of the Month,No,No,None, ,9:00:00,,,11:00:00,,,1st and 2nd of the Month,,09:00:00,11:00:00
19507-PART-01,Haymarket Regional Food Pantry,7669 Limestone Drive,,Gainesville,VA,VA Prince William County,20155,(703) 795-4892,efsmith11@gmail.com,Non-TEFAP,38.790517,-77.598066,2025-03-27,N/A,N/A,182,Thursday,5:00 PM to 8:30 PM; Every week,Yes,No,None, ,17:00:00,,,20:30:00,,,Every week,,17:00:00,20:30:00
19357-PART-01,Centreville UMC,6400 Old Centreville Rd,,Centreville,VA,VA Fairfax County,20121,(703) 830-2684,pmohr@centreville-umc.org,TEFAP Available,38.825598,-77.439884,2025-04-09,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,186,Thursday,5:30 PM to 6:30 PM; 4th of the Month,No,No,None, ,17:30:00,,,18:30:00,,,4th of the Month,,17:30:00,18:30:00
14220-PART-01,Purity Baptist Church,1325 Maryland Ave NE,,Washington,DC,DC Ward 6,20002,(703) 966-3212,trishannpurityb@gmail.com,TEFAP Available,38.898165,-76.987278,2025-03-18,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,190,Thursday,10:00 AM to 11:00 AM; Every week,No,No,None, ,10:00:00,,,11:00:00,,,Every week,,10:00:00,11:00:00
19143-PART-01,Woodbridge Workers,13950 Jefferson Davis Highway,,Woodbridge,VA,VA Prince William County,22193,(703) 969-0197,lyallna@comcast.net,Non-TEFAP,38.651994,-77.259957,2025-04-17,N/A,N/A,191,Thursday,11:30 AM to 12:30 PM; Every week,No,No,None, ,11:30:00,,,12:30:00,,,Every week,,11:30:00,12:30:00
18295-MOMK-02,Hermosa Valley Mobile Home Park,13950 Richmond Hwy,,Woodbridge,VA,VA Prince William County,22191,(703) 969-0197,lyallna@comcast.net,Non-TEFAP,38.65208,-77.25979,2025-04-03,N/A,N/A,193,Thursday,11:00 AM to 1:00 PM; 1st of the Month,No,No,None, ,11:00:00,,,13:00:00,,,1st of the Month,,11:00:00,13:00:00
19488-PART-01,"Koinonia Foundation, Inc.",6037 Franconia Road,,Alexandria,VA,VA Fairfax County,22310,(703) 971-1991,judy@koinoniacares.org,Non-TEFAP,38.782088,-77.144471,2025-04-14,N/A,N/A,194,Thursday,9:00 AM to 4:30 PM; Every week (Note: Must live in service area. Call to check),Yes,Yes, (Note: Must live in service area. Call to check), ,9:00:00,,,16:30:00,,,Every week,Note: Must live in service area. Call to check,09:00:00,16:30:00
19661-PART-01,Salvation Army Arlington Corps,518 S. Glebe Rd,,Arlington,VA,VA Arlington County,22204,(703) 979-3380,Danitza.Porras@uss.salvationarmy.org,TEFAP Available,38.866491,-77.09541,2025-04-07,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,196,Thursday,9:30 AM to 11:30 AM; 1st and 2nd of the Month (Note: Until supplies last.),No,No, (Note: Until supplies last.), ,9:30:00,,,11:30:00,15:00:00,,1st and 2nd of the Month,Note: Until supplies last.,09:30:00,11:30:00
19661-PART-01,Salvation Army Arlington Corps,518 S. Glebe Rd,,Arlington,VA,VA Arlington County,22204,(703) 979-3380,Danitza.Porras@uss.salvationarmy.org,TEFAP Available,38.866491,-77.09541,2025-04-07,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,196,Thursday,9:30 AM to 3:00 PM; 1st and 2nd of the Month (Note: Until supplies last),,, (Note: Until supplies last), ,9:30:00,,,11:30:00,15:00:00,,1st and 2nd of the Month,Note: Until supplies last,09:30:00,15:00:00
19395-PART-01,Alexandria Food Pantry,4725A Eisenhower Avenue,,ALEXANDRIA,VA,VA City of Alexandria,22304,(703) 991-6940,Maria.Rodriguez@ccda.net,TEFAP Available,38.804514,-77.116946,2025-04-15,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,199,Thursday,9:00 AM to 1:00 PM; Every week (Note: Please arrive no later than 12:30 to allow processing. All clients require previous registration. All registrations are by appointment only and can be requested through AROPantry@ccda.net.),No,No, (Note: Please arrive no later than 12:30 to allow processing. All clients require previous registration. All registrations are by appointment only and can be requested through AROPantry@ccda.net.), ,9:00:00,,,13:00:00,,,Every week,Note: Please arrive no later than 12:30 to allow processing. All clients require previous registration. All registrations are by appointment only and can be requested through AROPantry@ccda.net.,09:00:00,13:00:00
19240-PART-01,Rising Hope Methodist Mission Church,8220 Russell Road,,Alexandria,VA,VA Fairfax County,22309,(719) 310-3277,rburbano@risinghopeumc.org,TEFAP Available,38.734038,-77.1016,2025-04-15,"SNAP, TANF, Medicaid, SSI",https://cafb.sharepoint.com/:i:/s/Analytics/EZQPAOXJRiVHpgm3ZQxSMoQBT8Waq5Q7a8F2jRfeQCvOhg,201,Thursday,1:30 PM to 4:30 PM; Every week,Yes,No,None, ,13:30:00,,,16:30:00,,,Every week,,13:30:00,16:30:00
19618-PART-01,St. Anne's Episcopal Church ( Food Pantry),1700 Wainwright Drive,,Reston,VA,VA Fairfax County,20190,(925) 323-7084,stuartcrest@gmail.com,Non-TEFAP,38.966756,-77.353417,2025-04-01,N/A,N/A,205,Thursday,11:30 AM to 1:00 PM; 3rd of the Month,No,No,None, ,11:30:00,,,13:00:00,,,3rd of the Month,,11:30:00,13:00:00
16475-MOMK-01,Northern Virginia Family Service SERVE,10056 Dean Dr,,Manassas,VA,VA Manassas City,20110,(571) 234-9450,ddixon@nvfs.org,Non-TEFAP,38.744777,-77.500497,2025-03-20,N/A,N/A,207,Thursday,9:30 AM to 10:30 AM; 3rd of the Month,No,No,None, ,9:30:00,,,10:30:00,,,3rd of the Month,,09:30:00,10:30:00
17065-MOMK-01,Faith Temple #2,211 Maryland Park Drive,,Capital Heights,MD,MD Prince George's County,20743,(301) 655-1722,rhineshiggs@aol.com,Non-TEFAP,38.891522,-76.909188,2025-03-21,N/A,N/A,218,Thursday,9:00 AM to 11:00 AM; 3rd of the Month,No,No,None, ,9:00:00,,,11:00:00,,,3rd of the Month,,09:00:00,11:00:00
18475-MOMK-01,4-H Club Park and Planning,2411 Pinebrook Ave,,Hyattsville,MD,MD Prince George's County,20785,(240) 643-9397,lenoraharper@verizon.net,Non-TEFAP,38.923751,-76.894012,2025-03-20,N/A,N/A,222,Thursday,10:00 AM to 12:00 PM; 2nd and 3rd of the Month,No,No,None, ,10:00:00,,,12:00:00,,,2nd and 3rd of the Month,,10:00:00,12:00:00
18110-MOMK-01,Alafia Baptist Church,3623 Eastern Avenue,,Mount Rainier,MD,MD Prince George's County,20712,(202) 907-9267,,Non-TEFAP,38.934837,-76.962584,2025-04-10,N/A,N/A,224,Thursday,9:30 AM to 11:30 AM; 2nd and 4th of the Month (Note: distribution may begin earlier depending on delivery),No,No, (Note: distribution may begin earlier depending on delivery), ,9:30:00,,,11:30:00,,,2nd and 4th of the Month,Note: distribution may begin earlier depending on delivery,09:30:00,11:30:00
17020-MOMK-01,Latin American Youth Center,6200  Sheridan St,,Riverdale,MD,MD Prince George's County,20737,(202) 436-2586,eduardo.pachero@layc-dc.org,Non-TEFAP,38.965082,-76.910888,2025-03-28,N/A,N/A,228,Thursday,11:30 AM to 1:30 PM; 3rd of the Month,No,No,None, ,11:30:00,,,13:30:00,,,3rd of the Month,,11:30:00,13:30:00
18245-PART-04,ECD - Edgewood Commons,8403 Colesville Rd,Suite 1150,Silver Spring,MD,DC Ward 5,20910,(202) 506-4520,cbravante@enterpriseresidential.org,Non-TEFAP,38.994746,-77.031076,2025-03-20,N/A,N/A,229,Thursday,11:00 AM to 4:00 PM; 1st and 3rd of the Month (Note: Fresh Produce),No,No, (Note: Fresh Produce), ,11:00:00,,,16:00:00,,,1st and 3rd of the Month,Note: Fresh Produce,11:00:00,16:00:00
19588-PUSH-01,Clifton Park Baptist Church,8818 Piney Branch Road,,Silver Spring,MD,MD Montgomery County,20903,(703) 850-8164,CAROLYNPETTUS@VERIZON.NET,Non-TEFAP,39.000379,-76.993993,2025-04-04,N/A,N/A,230,Thursday,10:00 AM to 12:00 PM; 3rd of the Month,No,No,None, ,10:00:00,,,12:00:00,,,3rd of the Month,,10:00:00,12:00:00
16185-PUSH-01,City of Greenbelt Food Pantry,15 Crescent Rd,,Greenbelt,MD,MD Prince George's County,20770,(240) 542-2012,cbatey@greenbeltmd.gov,Non-TEFAP,39.000501,-76.877449,2025-03-20,N/A,N/A,231,Thursday,1:00 PM to 3:00 PM; ,No,No,None, ,13:00:00,,,15:00:00,,,,,13:00:00,15:00:00
16890-MOMK-01,Zion Baptist Church (North Campus),11005 Dayton St,,Silver Spring,MD,MD Montgomery County,20902,(240) 876-5167,cburtsmith@gmail.com,Non-TEFAP,39.036647,-77.043496,2025-04-24,N/A,N/A,233,Thursday,12:00 PM to 3:00 PM; 3rd of the Month,No,No,None, ,12:00:00,,,15:00:00,,,3rd of the Month,,12:00:00,15:00:00
22731-PART-01,CFH Inc.,9021 Centreville Road,,Manassas,VA,VA City of Manassas,20110,(571) 201-6226,helen@cfhva.org,Non-TEFAP,38.75729,-77.46119,1970-01-01,N/A,N/A,247,Thursday,3:00 PM to 5:00 PM; Every week (Note: must call to make an appointment 571-201-6226),Yes,No, (Note: must call to make an appointment 571-201-6226), ,15:00:00,,,17:00:00,,,Every week,Note: must call to make an appointment 571-201-6226,15:00:00,17:00:00
22863-PART-01,St. John's Community Service Center,7611 Little River Turnpike,,Annandale,VA,VA Fairfax County,22003,(571) 283-9231,lpuryear@sjcs.org,Non-TEFAP,38.83154,-77.20901,1970-01-01,N/A,N/A,248,Thursday,10:00 AM to 4:00 PM; Every week,No,No,None, ,10:00:00,,,16:00:00,,,Every week,,10:00:00,16:00:00
22877-PART-01,True Ground Housing,4318 N Carlin Springs Road,,Arlington,VA,VA Arlington County,22203,(571) 733-9627,mjackson@apah.org,Non-TEFAP,38.876971,-77.112528,1970-01-01,N/A,N/A,249,Thursday,10:00 AM to 6:00 PM; Every week,No,Yes,None, ,10:00:00,,,18:00:00,,,Every week,,10:00:00,18:00:00
23013-PART-01,Fairfax Church Resource Center,11451 Braddock Road,,Fairfax,VA,VA Fairfax County,22030,(703) 745-1030,valerienolan@fairfax.cc,Non-TEFAP,38.83288,-77.33937,1970-01-01,N/A,N/A,250,Thursday,9:00 AM to 3:00 PM; Every week,Yes,No,None, ,9:00:00,,,15:00:00,,,Every week,,09:00:00,15:00:00
22468-PART-02,International High School at Largo,505 Largo Rd SW Side,,Upper Marlboro,MD,MD Prince George's County,20774,(301) 702-3810 ext 84137,julisa.rosado@pgcps.org,Non-TEFAP,38.88637,-76.82032,1970-01-01,N/A,N/A,253,Thursday,3:00 PM to 6:00 AM; 4th of the Month (Note: Limited to families of the IHS at Largo),No,No, (Note: Limited to families of the IHS at Largo), ,15:00:00,,,6:00:00,,,4th of the Month,Note: Limited to families of the IHS at Largo,15:00:00,06:00:00
22052-PART-05,Washington View Apartments,2629 Douglass Rd SE,,Washington DC,DC,DC Ward 8,20020,(202) 621-1600,rjohnson@nhtinc.org,Non-TEFAP,38.85707,-76.98951,1970-01-01,N/A,N/A,257,Thursday,12:00 PM to 2:00 PM; Every week,No,Yes,None, ,12:00:00,,,14:00:00,,,Every week,,12:00:00,14:00:00
23214-PART-01,Inova Cares Clinics,6400 Arlington Blvd,,Falls Church,VA,VA Fairfax County,22042,(703) 698-2552,kate.garsson@inova.org,Non-TEFAP,38.8725283,-77.1609022,1970-01-01,N/A,N/A,258,Thursday,8:00 AM to 4:30 PM; Every week (Note: Must be a patient),No,No, (Note: Must be a patient), ,8:00:00,,,16:30:00,,,Every week,Note: Must be a patient,08:00:00,16:30:00
22203-PART-01,Emmanuel Baptist Church,2409 Ainger Place SE,,Washington,DC,DC Ward 8,20020,(301) 266-1610,jsbiskit@aol.com,Non-TEFAP,38.856566,-76.971857,2025-03-31,N/A,N/A,259,Thursday,4:00 PM to 6:00 PM; 1st and 3rd of the Month,No,No,None, ,16:00:00,,,18:00:00,,,1st and 3rd of the Month,,16:00:00,18:00:00
16175-PART-01,ISKCON of Washington,10310 Oaklyn Dr,,Potomac,MD,MD Montgomery County,20854,(301) 299-2100,sharmilabcs@gmail.com,Non-TEFAP,39.001844,-77.213822,2025-04-07,N/A,N/A,264,Thursday,1:00 PM to 2:00 PM; Every week,No,No,, ,13:00:00,18:00:00,,14:00:00,19:00:00,,Every week,,13:00:00,14:00:00
16175-PART-01,ISKCON of Washington,10310 Oaklyn Dr,,Potomac,MD,MD Montgomery County,20854,(301) 299-2100,sharmilabcs@gmail.com,Non-TEFAP,39.001844,-77.213822,2025-04-07,N/A,N/A,264,Thursday,6:00 PM to 7:00 PM; Every week,,,, ,13:00:00,18:00:00,,14:00:00,19:00:00,,Every week,,18:00:00,19:00:00
19868-PART-01,InterFaith Works,751 Twinbrook Pkwy,,Rockville,MD,MD Montgomery County,20852,(301) 315-1103,hubcoordinator@iworksmc.org,Non-TEFAP,39.082715,-77.114344,2025-04-15,N/A,N/A,266,Thursday,9:00 AM to 4:00 PM; Every week,Yes,No,None, ,9:00:00,,,16:00:00,,,Every week,,09:00:00,16:00:00
19755-PART-01,"Mission of Love Charities, Inc.",6180 Central Avenue,,Capitol Heights,MD,MD Prince George's County,20743,(301) 333-4440,asorto@molc-inc.org,Non-TEFAP,38.886441,-76.903184,2025-04-11,N/A,N/A,271,Thursday,8:30 AM to 3:30 PM; Every week (Note: Prepared Meals as well),No,No, (Note: Prepared Meals as well), ,8:30:00,,,15:30:00,,,Every week,Note: Prepared Meals as well,08:30:00,15:30:00
14850-PART-01,First Baptist Church of Capitol Heights,6 Capitol Heights Blvd,,Capitol Heights,MD,MD Prince George's County,20743,(301) 336-0722,fbcchfoodpantry@outlook.com,TEFAP Available,38.885204,-76.91388,2025-03-25,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,272,Thursday,10:00 AM to 1:00 PM; Every Other Week,Yes,Yes,None, ,10:00:00,,,13:00:00,,,Every Other Week,,10:00:00,13:00:00
19846-PART-01,Hope Presbyterian Church,1100 Enterprise Road,,Mitchellville,MD,MD Prince George's County,20721,(301) 351-7637,nichi1994@yahoo.com,Non-TEFAP,38.904916,-76.797671,2025-04-08,N/A,N/A,274,Thursday,12:00 PM to 1:30 PM; Every week (Note: Come around church to rear),No,No, (Note: Come around church to rear), ,12:00:00,,,13:30:00,,,Every week,Note: Come around church to rear,12:00:00,13:30:00
19775-PART-01,Bethesda Help,10100 Old Georgetown Road,,Bethesda,MD,MD Montgomery County,20814,(301) 365-2022,aeharvey1007@hotmail.com,Non-TEFAP,39.021234,-77.123385,2025-04-17,N/A,N/A,281,Thursday,9:00 AM to 4:30 PM; Every week (Note: Clients must call to request food.  Drivers will deliver food within 48 hours),Yes,No, (Note: Clients must call to request food.  Drivers will deliver food within 48 hours), ,9:00:00,,,16:30:00,,,Every week,Note: Clients must call to request food.  Drivers will deliver food within 48 hours,09:00:00,16:30:00
16505-PART-01,City of Praise Family Ministries,8806 Brightseat Road,,Landover,MD,MD Prince George's County,20785,(301) 404-8234,nancystaten@aol.com,TEFAP Available,38.914319,-76.853332,2025-04-10,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,284,Thursday,4:30 PM to 6:00 PM; Every week,No,No,None, ,16:30:00,,,18:00:00,,,Every week,,16:30:00,18:00:00
19485-PART-01,Manna Food Center,9311 Gaither Rd,,Gaithersburg,MD,MD Montgomery County,20877,(301) 424-1130,edwin@mannafood.org,TEFAP Available,39.118337,-77.191909,2025-03-28,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,287,Thursday,7:00 AM to 7:00 AM; Every week,No,Yes,None, ,7:00:00,,,7:00:00,,,Every week,,07:00:00,07:00:00
22697-PART-01,Mount Calvary Baptist Church,608 North Horners Lane,,Rockviille,MD,MD Montgomery County,20850,(301) 424-8717,carolyn.kennedy-piggott@mtcbc.org,Non-TEFAP,39.09291,-77.14419,2025-03-20,N/A,N/A,288,Thursday,4:30 PM to Until Food Runs Out; 1st and 3rd of the Month (Note: Open 1st and 3rd Thursday of every month),No,No, (Note: Open 1st and 3rd Thursday of every month), ,16:30:00,,,23:59:00,,,1st and 3rd of the Month,Note: Open 1st and 3rd Thursday of every month,16:30:00,
22458-PART-01,Destiny Driven,5900 Princess Garden Parkway,,Lanham,MD,MD Prince George's County,20706,(301) 455-5970,destinydriveninternationalceo@gmail.com,Non-TEFAP,38.961544,-76.864,2025-04-18,N/A,N/A,293,Thursday,10:00 AM to 1:00 PM; Every week,Yes,No,None, ,10:00:00,,,13:00:00,,,Every week,,10:00:00,13:00:00
14665-PART-01,Brighter Day Ministries Food Pantry,2525 12th Pl SE,,Washington,DC,DC Ward 8,20020,(301) 455-6384,mable.l.semple@hotmail.com,TEFAP Available,38.842849,-76.999752,2025-04-10,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,294,Thursday,11:00 AM to 3:00 PM; Every week,No,Yes,, ,11:00:00,16:00:00,,15:00:00,18:30:00,,Every week,,11:00:00,15:00:00
14665-PART-01,Brighter Day Ministries Food Pantry,2525 12th Pl SE,,Washington,DC,DC Ward 8,20020,(301) 455-6384,mable.l.semple@hotmail.com,TEFAP Available,38.842849,-76.999752,2025-04-10,"SNAP, TANF, Medicaid",https://cafb.sharepoint.com/:i:/s/Analytics/EY6xpd78diJGux8egGA_3IsBS4NAJD5OqTZ_0LQyQJSUAg,294,Thursday,4:00 PM to 6:30 PM; Every week,,No,, ,11:00:00,16:00:00,,15:00:00,18:30:00,,Every week,,16:00:00,18:30:00
19815-PART-01,Harvest Gleaners,3210 Norbeck Road,,Silver Spring,MD,MD Montgomery County,20906,(301) 503-7397,harvestgleaners@aol.com,Non-TEFAP,39.111215,-77.06517,2025-04-02,N/A,N/A,299,Thursday,12:00 PM to Until Food Runs Out; Every Other Week,Yes,Yes,None, ,12:00:00,,,23:59:00,,,Every Other Week,,12:00:00,
19433-PART-01,Great Commission Change of Life Ministries,7937 Penn Randall Place Unit A,,Upper Marlboro,MD,MD Prince George's County,20772,(301) 541-9968,keith.iola@verizon.net,Non-TEFAP,38.833459,-76.866753,2025-04-03,N/A,N/A,306,Thursday,10:30 AM to 12:30 PM; Every week,No,No,, ,10:30:00,,,12:30:00,13:30:00,,Every week,,10:30:00,12:30:00
19433-PART-01,Great Commission Change of Life Ministries,7937 Penn Randall Place Unit A,,Upper Marlboro,MD,MD Prince George's County,20772,(301) 541-9968,keith.iola@verizon.net,Non-TEFAP,38.833459,-76.866753,2025-04-03,N/A,N/A,306,Thursday,10:30 AM to 1:30 PM; Every week,,,, ,10:30:00,,,12:30:00,13:30:00,,Every week,,10:30:00,13:30:00
18732-PART-01,St. Paul UMC,6634 St. Barnabas Road,,Oxon Hill,MD,MD Prince George's County,20745,(301) 567-4433,jlouisegreer@aol.com,TEFAP Only,38.798054,-76.982306,2025-04-02,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,308,Thursday,1:00 PM to 3:00 PM; Every week,No,No,, ,13:00:00,,,15:00:00,,,Every week,,13:00:00,15:00:00
18732-PART-01,St. Paul UMC,6634 St. Barnabas Road,,Oxon Hill,MD,MD Prince George's County,20745,(301) 567-4433,jlouisegreer@aol.com,TEFAP Only,38.798054,-76.982306,2025-04-02,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,308,Thursday,1:00 PM to 3:00 PM; Every week,Yes,,, ,13:00:00,,,15:00:00,,,Every week,,13:00:00,15:00:00
18756-PART-04,Shepherd's Table - Progress Place Building,8106 Georgia Avenue,,Silver Springs,MD,MD Montgomery County,20910,(301) 585-6463,cmoore@shepherdstable.org,TEFAP Only,38.990683,-77.027435,2025-03-25,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,309,Thursday,6:00 AM to 7:00 PM; Every week,No,No,None, ,6:00:00,,,19:00:00,,,Every week,,06:00:00,19:00:00
16885-MOMK-01,Silver Spring UMC,8900 Georgia Ave,,Silver Spring,MD,MD Montgomery County,20901,(301) 587-1215,anne_metcalf@msn.com,Non-TEFAP,39.001146,-77.034143,2025-04-03,N/A,N/A,310,Thursday,11:00 AM to 1:00 PM; 1st of the Month,No,No,None, ,11:00:00,,,13:00:00,,,1st of the Month,,11:00:00,13:00:00
19871-PART-01,Oak Chapel UMC,14500 Layhill Road,,Silver Spring,MD,MD Montgomery County,20906,(301) 598-0000,ocumhub@gmail.com,Non-TEFAP,39.094462,-77.045515,2025-04-08,N/A,N/A,312,Thursday,"12:00 PM to 1:00 PM; 2nd of the Month (Note: School families only. Harmony Hills Elementary 13407 Lydia St,  Silver Spring MD 20906)",No,No," (Note: School families only. Harmony Hills Elementary 13407 Lydia St,  Silver Spring MD 20906)", ,12:00:00,,,13:00:00,,,2nd of the Month,"Note: School families only. Harmony Hills Elementary 13407 Lydia St,  Silver Spring MD 20906",12:00:00,13:00:00
19850-PART-01,Nourishing Bethesda,5020 Battery Lane,,Bethesda,MD,MD Montgomery County,20814,(301) 664-4630,jfr@johnfross.com,Non-TEFAP,38.990524,-77.102858,2025-04-17,N/A,N/A,319,Thursday,6:00 PM to 8:00 PM; Every week (Note: Eligible clients must live within out 47 square mile geographical service area or work in Bethesda. We reserve the right to require proof of address/or job location.),Yes,No, (Note: Eligible clients must live within out 47 square mile geographical service area or work in Bethesda. We reserve the right to require proof of address/or job location.), ,18:00:00,,,20:00:00,,,Every week,Note: Eligible clients must live within out 47 square mile geographical service area or work in Bethesda. We reserve the right to require proof of address/or job location.,18:00:00,20:00:00
22685-PART-01,Gaithersburg Soup Kitchen,9008 Rosemont Drive,,Gaithersburg,MD,MD Montgomery County,20877,(301) 706-2318,pdono1417@gmail.com,TEFAP Only,39.12745,-77.18563,2025-04-11,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,323,Thursday,3:30 PM to 4:30 PM; Every week,No,No,None, ,15:30:00,,,16:30:00,,,Every week,,15:30:00,16:30:00
19471-PART-01,Community Outreach and Development Center CDC,4719 Marlboro Pike,,Capitol Heights,MD,MD Prince George's County,20743,(301) 735-0121,cyoung@communityoutreachcdc.org,TEFAP Available,38.873485,-76.932958,2025-04-14,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,325,Thursday,9:00 AM to 5:00 PM; Every week,No,No,None, ,9:00:00,,,17:00:00,,,Every week,,09:00:00,17:00:00
19616-PART-01,"Mt. Calvary Catholic Church, Ladies of Charity Food Pantry",6706 Marlboro Pike,,Forestville,MD,MD Prince George's County,20747,(301) 735-5532,reginabarret@aol.com,TEFAP Available,38.85237,-76.889613,2025-03-31,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,326,Thursday,9:00 AM to 11:30 AM; Every week,Yes,No,None, ,9:00:00,,,11:30:00,,,Every week,,09:00:00,11:30:00
18762-PART-01,Rainbow Community Development Center,2120 Industrial Parkway,A,Silver Spring,MD,MD Montgomery County,20904,(301) 768-7672,pdrumming@rainbowcdc.org,TEFAP Available,39.054789,-76.969193,2025-04-07,"SNAP, TANF, Unemployment, Energy Assistance, Medical Assistance",https://cafb.sharepoint.com/:i:/s/Analytics/Ef6ztjkSNWRBlGFP-Dfext4B28ul8j5DmZapuGP1eb3xqQ,328,Thursday,"9:00 AM to 12:00 PM; Every Other Week (Note: On Tuesday and Thursday, we serve clients in zip codes 20901, 20903, 20904, 20905, 20906, 20866, 20868)",Yes,Yes," (Note: On Tuesday and Thursday, we serve clients in zip codes 20901, 20903, 20904, 20905, 20906, 20866, 20868)", ,9:00:00,,,12:00:00,,,Every Other Week,"Note: On Tuesday and Thursday, we serve clients in zip codes 20901, 20903, 20904, 20905, 20906, 20866, 20868",09:00:00,12:00:00
